Name;Name2;Ordnung;Ordnung-lt;Familie;Familie-lt;Gattung;Art;Sorte;Winterhart;Staude;Preis;Karlsgarten;jährig;Synonym1;Varietät;Name3;Synonym2;link
schmalblättrige Damiana;;;;;;Turnera;diffusa;;0;0;;0;;;;;;
großblättrige Damiana;;;;;;Turnera;ulmifolia;;0;0;;0;;;;;;
Eiskraut;ausdauerndes Eiskraut;;;;;Aptenia;cordifolia;;0;0;;0;;;;Herzblättrige Mittagsblume;;
Engelwurz;Angelika;;;;;Angelica;archangelika;;0;0;;0;;;;;;
Färberwaid;;;;;;;;;0;0;;0;;;;;;
Färberwau;;;;;;;;;0;0;;0;;;;;;
indischer Flohsame;;;;;;;;;0;0;;0;;;;;;
echtes Herzgespann;;;;;;Leonurus;cardiaca;;0;0;;0;;;;;;
Hirschwurzel;;;;;;;;;0;0;;0;;;;;;
Weberkarde;Karde;Kardenartige;Dipsacales;Kardengewächse;Dipsacaceae;Dipsacus;sativus;;0;0;;0;;;;;;
Kardone;Cardy;Asternartige;Asterales;Korbblütler;Asteraceae;Cynara;cardunculus;;0;0;;0;;;;;;
Knoblauchgamander;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Teucrium;scordium;;0;0;;0;;;;;;
Bockshornklee;;;;;;Trigonella;foenum-graecum;;0;0;;0;;;;;;
Schabzigerklee;;;;;;;;;0;0;;0;;;;;;
Kresse;;;;;;;;;0;0;;0;;;;;;
Kroatzbeere;;;;;;Rubus;caesius;;0;0;;0;;;;;;
französischer Lavendel;;;;;;;;GROSSO;0;0;;0;;;;;;
Lein;;;;;;Linum;;;0;0;;0;;;;;;
Löffelkraut;;;;;;;;;0;0;;0;;;;;;
moldawische Melisse;;;;;;;;;0;0;;0;1;;;;;
Meisterwurz;;;;;;;;;0;0;;0;;;;;;
kleine Katzenminze;;;;;;Nepeta;faassenii;;1;1;;0;;;;;;
kriechende Poleiminze;;;;;;;;;1;1;;0;3;;;;;
Nelkenwurz;;;;;;Geum;;;0;0;;0;;;;;;
Olivenkraut;;;;;;Santolina;;;0;0;;0;;;;;;
Passionsblume;;;;;;Passiflora;;;0;0;;0;;;;;;
heilende Passionsblume;;;;;;Passiflora;incarnata;;0;0;;0;;;;;;
Bibernelle;kleine Bibernelle;Doldenblütlerartige;Apiales;Doldenblütler;Apiaceae;Pimpinella;saxifraga;;0;0;;0;;;;;;
Pilzkraut;;;;;;Rungia;klossii;;0;0;;0;;;;;;
wilder Portulak;;;;;;Portulaca;;;0;0;;0;;;;;;
Queller;;;;;;Salicornia;europaea;;0;0;;0;;;;;;
Rizinus;;;;;;Ricinus;communis;;0;0;;0;;;;;;
Rosmarin ARP;;;;;;;;ARP;0;0;;0;;;;;;
Rosmarin Veitshöchheim;;;;;;;;Veitshöchheim;0;0;;0;;;;;;
Honigmelonensalbei;;;;;;;;;0;0;;0;;;;;;
Johannisbeersalbei;;;;;;;;;0;0;;0;;;;;;
mexikanischer Salbei;;;;;;Lepichinia;hastata;;0;0;;0;;;;;;
Pfeffersalbei;;;;;;;;;0;0;;0;;;;;;
Präriesalbei;;;;;;;;;0;0;;0;;;;;;
Silberblattsalbei;;;;;;;;;0;0;;0;;;;;;
kleiner Sauerampfer;;;;;;;;;0;0;;0;;;;;;
Süssdolde;;;;;;;;;0;0;;0;;;;;;
Mattenthymian;;;;;;;;;0;0;;0;;;;;;
Tollkirsche;schwarzfrüchtige Tollkirsche;;;;;Atropa;belladonna;;0;0;;0;;;;schwarze Tollkirsche;;
Tüpfelfarn;Engelsüß;Tüpfelfarnartige;Polypodiales;Tüpfelfarngewächse;Polypodiaceae;Polypodium;vulgare;;1;0;;0;3;;;;;
Alraune;;;;;;Mandragora;officinarum;;0;0;E;0;;;;;;
Frühlings-Adonis;Adonisröschen;;;;;Adonis;vernalis;;0;0;;0;;;;Frühlings-Adonisröschen;;
Sommer-Adonis;Adonisröschen;;;;;Adonis;aestivalis;;0;0;;0;;;;Sommer-Adonisröschen;;
Herbst-Adonis;Adonisröschen;;;;;Adonis;annua;;0;0;;0;;;;Herbst-Adonisröschen;;
Amarant;Fuchsschwanz;;;;;Amaranthus;blitum;;0;0;;0;;;;;;
Canum Basilikum;Tulsi canum;;;;;Ocimum;canum;;0;0;;0;;;;;;
Färberdistel;;;;;;Carthamus;tinctoris;;0;0;;0;;;;;;
europäische Goldrute;echte Goldrute;;;;;Solidago;virgaurea;;0;0;;0;;;;gemeine Goldrute;;
Steinklee;Echter Steinklee;;;;;Meliotus;officinalis;;0;0;;0;;;;Gelber Steinklee;;
Gartenkresse;;;;;;Lepidium;sativum;;0;0;;0;;;;;;
Süßholz;;;;;;Glycyrrhiza;glabra;;0;0;;0;;;;;;
Schmalblättriger Sonnenhut;;;;;;Echinacea;angustifolia;;0;0;;0;;;;;;
Gelbe Tollkirsche;Gelbfrüchtige Tollkirsche;;;;;Atropa;belladonna;`Lutea`;0;0;;0;;;;;;
echter Haarstrang;;;;;;Peucedanum;officinale;;0;0;;0;;;;;;
Faserhanf;Nutzhanf;;;;;Cannabis;sativa;;0;0;;0;;;sativa;;;
Huflattich;;;;;;Tussilago;farfara;;0;0;;0;;;;;;
Schabenkönigskerze;;;;;;Verbascum;blattaria;;0;0;;0;;;;;;
Salzmelde;;;;;;Atriplex;halimus;;0;0;;0;;;;;;
Virginiatabak;;;;;;Nicotiana;tabacum;;0;0;;0;;;;;;
Bauerntabak;;;;;;Nicotiana;rustica;;0;0;;0;;;;;;
Ehrenpreis;Ähriger Ehrenpreis;;;;;Veronica;spicata;;0;0;;0;;Ähren-Blauweiderich;;Ähriger Blauweiderich;;
arabisches Bergkraut;;;;;;Micromeria;fruticosa;;0;0;;0;;;;;;
Schildampfer;römischer Ampfer;;;;;Rumex;scutatus;;0;0;;0;;;;;;
echte Aloe;;Spargelartige;Asparagales;Grasbaumgewächse;Xanthorrhoeaceae;Aloe;vera;;0;0;;0;3;;;;;
Eisenhut;Mönchshut;Hahnenfußartig;Ranunculales;Hahnenfußgewächse;Ranunlulaceae;Aconitum;napellus;;0;0;;0;;Würgling;;Ziegentod;Venuswagen;
